mass,mass_balance,mass_balance_trend
0.0000,0.0000,0.0000
0.1404,0.1404,0.0702
0.2787,0.1383,0.0929
0.4150,0.1363,0.1038
0.5495,0.1345,0.1099
0.6821,0.1326,0.1137
0.8126,0.1306,0.1161
0.9410,0.1283,0.1176
1.0668,0.1258,0.1185
1.1896,0.1228,0.1190
1.3088,0.1192,0.1190
1.4236,0.1148,0.1186
1.5337,0.1101,0.1180
1.6386,0.1049,0.1170
1.7378,0.0992,0.1159
1.8316,0.0938,0.1145
1.9193,0.0877,0.1129
2.0026,0.0833,0.1113
2.0812,0.0786,0.1095
2.1546,0.0735,0.1077
2.2237,0.0690,0.1059
2.2886,0.0649,0.1040
2.3500,0.0614,0.1022
2.4082,0.0581,0.1003
2.4629,0.0548,0.0985
2.5146,0.0517,0.0967
2.5633,0.0488,0.0949
2.6098,0.0465,0.0932
2.6540,0.0442,0.0915
2.6955,0.0414,0.0898
2.7352,0.0397,0.0882
2.7733,0.0381,0.0867
2.8093,0.0361,0.0851
2.8437,0.0344,0.0836
2.8757,0.0320,0.0822
2.9078,0.0321,0.0808
2.9390,0.0312,0.0794
2.9689,0.0299,0.0781
2.9977,0.0287,0.0769
3.0256,0.0279,0.0756
3.0526,0.0270,0.0745
3.0783,0.0257,0.0733
3.1033,0.0250,0.0722
3.1276,0.0243,0.0711
3.1512,0.0236,0.0700
3.1742,0.0230,0.0690
3.1969,0.0227,0.0680
3.2194,0.0225,0.0671
3.2412,0.0218,0.0661
3.2628,0.0216,0.0653
3.2837,0.0210,0.0644
3.3044,0.0207,0.0635
3.3241,0.0196,0.0627
3.3442,0.0201,0.0619
3.3635,0.0193,0.0612
3.3818,0.0182,0.0604
3.3998,0.0180,0.0596
3.4172,0.0174,0.0589
3.4346,0.0174,0.0582
3.4508,0.0162,0.0575
3.4673,0.0164,0.0568
3.4832,0.0159,0.0562
3.4990,0.0158,0.0555
3.5141,0.0151,0.0549
3.5296,0.0154,0.0543
3.5443,0.0147,0.0537
3.5599,0.0156,0.0531
3.5738,0.0140,0.0526
3.5889,0.0151,0.0520
3.6031,0.0142,0.0515
3.6172,0.0141,0.0509
3.6310,0.0138,0.0504
3.6450,0.0140,0.0499
3.6580,0.0130,0.0494
3.6709,0.0129,0.0489
3.6835,0.0126,0.0485
3.6964,0.0129,0.0480
3.7080,0.0116,0.0475
3.7198,0.0118,0.0471
3.7317,0.0119,0.0466
3.7432,0.0115,0.0462
3.7538,0.0106,0.0458
3.7653,0.0116,0.0454
3.7761,0.0108,0.0450
3.7871,0.0110,0.0446
3.7970,0.0099,0.0442
3.8068,0.0098,0.0438
3.8164,0.0095,0.0434
3.8266,0.0102,0.0430
3.8352,0.0086,0.0426
3.8449,0.0096,0.0423
3.8541,0.0092,0.0419
3.8640,0.0099,0.0415
